idx,cod_origen,nombre_origen,nombre_destino,efecto,recomendacion,true_severity,true_type,true_mechanism
52,600024,CITALVIR 10 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,Inhibidores de la monoaminooxidasa A,Aumento del riesgo de síndrome serotonérgico.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,cns,pharmacodynamic
53,654130,COLCHICINA SEID 1 mg COMPRIMIDOS,verapamilo,Aumento del riesgo de toxicidad de colchicina.,"Asociación contraindicada en insuficiencia renal. Se recomana suspender uno de los principios activos. 
Asociación desaconsejada en el resto de casos. Valorar el beneficio/riesgo del tratamiento. Disminuir cuando sea necesario la dosis de colquicina.",contraindicated,toxicity,pharmacokinetic
54,600642,CLARITROMICINA ARAFARMA GROUP 250 mg COMPRIMIDOS RECUBIERTOS EFG,colchicina,Aumento del riesgo de toxicidad de colchicina.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,toxicity,pharmacokinetic
55,600608,FLUCONAZOL ALTAN 2 MG/ML SOLUCION PARA PERFUSION EFG,colchicina,Aumento del riesgo de toxicidad de colchicina.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,toxicity,pharmacokinetic
56,600139,FENITOINA ALTAN 50 MG/ ML SOLUCION INYECTABLE,disulfiram,Aumento del riesgo de toxicidad por fenitoina.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento. Se recomienda monitorizar niveles de fenitoina.,moderate,toxicity,pharmacokinetic
57,617316,DEPAKINE 200 mg COMPRIMIDOS GASTRORRESISTENTES,lamotrigina,Aumento del riesgo de toxicidad por lamotrigina. Reacciones cutáneas graves.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,toxicity,pharmacokinetic
58,600252,PARAPRES 32 mg COMPRIMIDOS,Inhibidores de la MAO,Aumento del riesgo de toxicidad por litio.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento. Se recomienda monitorizar los niveles de litio.,moderate,toxicity,pharmacokinetic
59,600642,CLARITROMICINA ARAFARMA GROUP 250 mg COMPRIMIDOS RECUBIERTOS EFG,Alcaloides del ergot,Aumento del riesgo de vasoconstricción coronaria y/o crisis hipertensivas.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,cardiac,pharmacodynamic
60,601799,IBUPROFENO LLORENS 600 mg COMPRIMIDOS RECUBIERTOS EFG,Derivados del ácido acético y sustancias relacionadas,Aumento del riesgo de úlcera péptica y hemorragia digestiva.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,gastrointestinal,pharmacodynamic
61,600139,FENITOINA ALTAN 50 MG/ ML SOLUCION INYECTABLE,dronedarona,Disminución de las concentraciones de dronedarona.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,efficacy_reduction,pharmacokinetic
62,620286,RIFALDIN 300 mg CAPSULAS,atovacuona,Disminución de las concentraciones plasmáticas de atovacuona y aumento de las concentraciones plasmáticas de rifampicina.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,efficacy_reduction,pharmacokinetic
63,600139,FENITOINA ALTAN 50 MG/ ML SOLUCION INYECTABLE,mianserina,Disminución de las concentraciones plasmáticas de mianserina.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,efficacy_reduction,pharmacokinetic
64,620286,RIFALDIN 300 mg CAPSULAS,ranolazina,Disminución de las concentraciones plasmáticas de ranolazina.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,efficacy_reduction,pharmacokinetic
65,605878,SIMVASTATINA CINFA 40 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,carbamazepina,Disminución de las concentraciones plasmáticas de simvastatina.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,efficacy_reduction,pharmacokinetic
66,653817,SANDIMMUN NEORAL 50 mg CAPSULAS BLANDAS,modafinilo,Disminución de las concentraciones plasmáticas y eficacia de ciclosporina.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,efficacy_reduction,pharmacokinetic
67,609420,CARBAMAZEPINA NORMON 200 mg COMPRIMIDOS EFG,clozapina,Disminución de los niveles plasmáticos de clozapina. Aumento del riesgo de mielosupresión.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,efficacy_reduction,pharmacokinetic
68,600139,FENITOINA ALTAN 50 MG/ ML SOLUCION INYECTABLE,ulipristal,Disminución del efecto anticonceptivo.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,efficacy_reduction,unknown
69,600139,FENITOINA ALTAN 50 MG/ ML SOLUCION INYECTABLE,PROGESTÁGENOS,Disminución del efecto anticonceptivo.,"Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento. 
Se debe utilizar preferentemente otro método anticonceptivo.",moderate,efficacy_reduction,unknown
70,600139,FENITOINA ALTAN 50 MG/ ML SOLUCION INYECTABLE,"Dabigatrán,  etexilato de",Disminución del efecto de dabigatran.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,efficacy_reduction,unknown
71,620286,RIFALDIN 300 mg CAPSULAS,"Dabigatrán,  etexilato de",Disminución del efecto de dabigatran.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento. Considerar anticoagulante que se pueda monitorizar.,moderate,efficacy_reduction,unknown
72,600307,"NIMODIPINO ALTAN 0,2 MG/ML SOLUCION PARA PERFUSION EFG",Diuréticos ahorradores de potasio solos y en combinación,Disminución del efecto de nimodipino.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,efficacy_reduction,unknown
73,600687,PAROXETINA ARAFARMA GROUP 20 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,tamoxifeno,Disminución del efecto de tamoxifeno.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,efficacy_reduction,unknown
74,814707,RIMSTAR COMPRIMIDOS RECUBIERTOS CON PELICULA,telitromicina,Disminución del efecto de telitromicina,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,efficacy_reduction,unknown
75,600139,FENITOINA ALTAN 50 MG/ ML SOLUCION INYECTABLE,telitromicina,Disminución del efecto de telitromicina.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,efficacy_reduction,unknown
76,600139,FENITOINA ALTAN 50 MG/ ML SOLUCION INYECTABLE,ulipristal,Disminución del efecto de ulipristal.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,efficacy_reduction,unknown
77,601104,INYESPRIN 900 MG POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION,benzbromarona,Disminución del efecto uricosúrico.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,efficacy_reduction,unknown
78,606079,LUDIOMIL 75 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA,clonidina,Los antidepresivos tricíclicos antagonizan del efecto hipotensivo de clonidina y incrementan el riesgo de hipertensión en la retirada de clonidina,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,cardiac,pharmacodynamic
79,606855,ERITROMICINA PANPHARMA 1 G POLVO PARA SOLUCION PARA PERFUSION EFG,ranolazina,Prolongación del intervalo QT.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,cardiac,pharmacodynamic
80,650858,LOETTE DIARIO 100/20 microgramos COMPRIMIDOS RECUBIERTOS CON PELICULA,ulipristal,Reducción de la eficacia de ulipristal.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,efficacy_reduction,unknown
81,600608,FLUCONAZOL ALTAN 2 MG/ML SOLUCION PARA PERFUSION EFG,rifampicina,Reducción del efecto de los dos antiinfecciosos.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,efficacy_reduction,unknown
82,606855,ERITROMICINA PANPHARMA 1 G POLVO PARA SOLUCION PARA PERFUSION EFG,dapoxetina,Riesgo de aparición de efectos adversos de dapoxetina.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,other,unknown
83,650498,NODETRIP 60 MG CAPSULAS DURAS GASTRORRESISTENTES,fluvoxamina,Riesgo de aumento de los efectos secundarios de duloxetina.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,other,unknown
84,703369,"ZINOSAL 12,5 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG",Inhibidores no selectivos de la monoaminooxidasa,"Riesgo de colapso, hipertensión paroxística, hipertermia, convulsiones i muerte.",Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,severe,cns,pharmacodynamic
85,603118,FLUOXETINA NORMON 20 mg CAPSULAS DURAS EFG,tamoxifeno,Riesgo de disminución del efecto de tamoxifeno.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,efficacy_reduction,unknown
86,661614,NITOMAN 25 mg COMPRIMIDOS,Inhibidores no selectivos de la monoaminooxidasa,Riesgo  de excitación del SNC y crisis hipertensivas.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,cns,pharmacodynamic
87,609420,CARBAMAZEPINA NORMON 200 mg COMPRIMIDOS EFG,eritromicina,"Riesgo de potenciación de los efectos adversos de la carbamazepina (cefaleas, vértigo).",Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,cns,unknown
88,609420,CARBAMAZEPINA NORMON 200 mg COMPRIMIDOS EFG,Hidrazidas,Riesgo de potenciación del efecto de la carbamazepina.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento.,moderate,cns,unknown
89,603003,EPTADONE 5 mg/ml SOLUCION ORAL,naltrexona,Riesgo de síndrome de abstinencia.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,cns,pharmacodynamic
90,639203,METOTREXATO MYLAN 25 mg/ml SOLUCION INYECTABLE Y PARA PERFUSION,trimetoprima,Riesgo de toxicidad hematológica por metotrexato.,Asociación contraindicada. Se recomienda suspender uno de los principios activos.,contraindicated,toxicity,pharmacodynamic
91,600201,ELECOR 50 mg COMPRIMIDOS RECUBIERTOS CON PELICULA,ciclosporina,Riesgo grave de hiperpotasemia e insuficiencia renal.,Asociación desaconsejada. Valorar el beneficio/riesgo del tratamiento. Se recomienda monitorizar los niveles de potasio y la función renal.,moderate,metabolic,pharmacodynamic
